Size,WC
1000,0.0000012000
1100,0.0000006000
1200,0.0000006000
1300,0.0000010000
1400,0.0000010000
1500,0.0000008000
1600,0.0000010000
1700,0.0000010000
1800,0.0000010000
1900,0.0000008000
2000,0.0000008000
2100,0.0000006000
2200,0.0000010000
2300,0.0000008000
2400,0.0000010000
2500,0.0000006000
2600,0.0000006000
2700,0.0000006000
2800,0.0000008000
2900,0.0000010000
3000,0.0000010000
3100,0.0000010000
3200,0.0000010000
3300,0.0000010000
3400,0.0000008000
3500,0.0000010000
3600,0.0000010000
3700,0.0000006000
3800,0.0000010000
3900,0.0000006000
4000,0.0000010000
4100,0.0000010000
4200,0.0000010000
4300,0.0000010000
4400,0.0000010000
4500,0.0000008000
4600,0.0000010000
4700,0.0000010000
4800,0.0000010000
4900,0.0000010000
5000,0.0000010000
5100,0.0000006000
5200,0.0000010000
5300,0.0000010000
5400,0.0000010000
5500,0.0000004000
5600,0.0000006000
5700,0.0000010000
5800,0.0000010000
5900,0.0000006000
6000,0.0000006000
6100,0.0000010000
6200,0.0000010000
6300,0.0000010000
6400,0.0000010000
6500,0.0000060000
6600,0.0000010000
6700,0.0000018000
6800,0.0000010000
6900,0.0000006000
7000,0.0000010000
7100,0.0000010000
7200,0.0000010000
7300,0.0000010000
7400,0.0000010000
7500,0.0000010000
7600,0.0000010000
7700,0.0000006000
7800,0.0000010000
7900,0.0000008000
8000,0.0000006000
8100,0.0000010000
8200,0.0000006000
8300,0.0000010000
8400,0.0000008000
8500,0.0000010000
8600,0.0000008000
8700,0.0000006000
8800,0.0000008000
8900,0.0000006000
9000,0.0000010000
9100,0.0000008000
9200,0.0000008000
9300,0.0000010000
9400,0.0000010000
9500,0.0000010000
9600,0.0000010000
9700,0.0000008000
9800,0.0000010000
9900,0.0000010000
10000,0.0000008000
10100,0.0000010000
10200,0.0000010000
10300,0.0000006000
10400,0.0000010000
10500,0.0000010000
10600,0.0000010000
10700,0.0000008000
10800,0.0000008000
10900,0.0000010000
11000,0.0000008000
11100,0.0000010000
11200,0.0000010000
11300,0.0000006000
11400,0.0000008000
11500,0.0000010000
11600,0.0000010000
11700,0.0000010000
11800,0.0000008000
11900,0.0000010000
12000,0.0000010000
12100,0.0000010000
12200,0.0000006000
12300,0.0000008000
12400,0.0000008000
12500,0.0000010000
12600,0.0000010000
12700,0.0000010000
12800,0.0000014000
12900,0.0000012000
13000,0.0000012000
13100,0.0000014000
13200,0.0000014000
13300,0.0000014000
13400,0.0000012000
13500,0.0000012000
13600,0.0000016000
13700,0.0000014000
13800,0.0000012000
13900,0.0000008000
14000,0.0000010000
14100,0.0000010000
14200,0.0000008000
14300,0.0000008000
14400,0.0000006000
14500,0.0000008000
14600,0.0000008000
14700,0.0000010000
14800,0.0000008000
14900,0.0000010000
15000,0.0000010000
15100,0.0000008000
15200,0.0000010000
15300,0.0000010000
15400,0.0000010000
15500,0.0000010000
15600,0.0000010000
15700,0.0000016000
15800,0.0000012000
15900,0.0000014000
16000,0.0000012000
16100,0.0000014000
16200,0.0000006000
16300,0.0000010000
16400,0.0000006000
16500,0.0000010000
16600,0.0000008000
16700,0.0000008000
16800,0.0000010000
16900,0.0000006000
17000,0.0000010000
17100,0.0000008000
17200,0.0000006000
17300,0.0000010000
17400,0.0000010000
17500,0.0000010000
17600,0.0000006000
17700,0.0000010000
17800,0.0000010000
17900,0.0000008000
18000,0.0000006000
18100,0.0000006000
18200,0.0000010000
18300,0.0000010000
18400,0.0000010000
18500,0.0000010000
18600,0.0000010000
18700,0.0000010000
18800,0.0000010000
18900,0.0000010000
19000,0.0000008000
19100,0.0000008000
19200,0.0000008000
19300,0.0000008000
19400,0.0000010000
19500,0.0000008000
19600,0.0000012000
19700,0.0000010000
19800,0.0000010000
19900,0.0000006000
20000,0.0000010000
20100,0.0000010000
20200,0.0000006000
20300,0.0000010000
20400,0.0000008000
20500,0.0000006000
20600,0.0000010000
20700,0.0000008000
20800,0.0000010000
20900,0.0000006000
21000,0.0000010000
21100,0.0000006000
21200,0.0000010000
21300,0.0000010000
21400,0.0000010000
21500,0.0000008000
21600,0.0000010000
21700,0.0000006000
21800,0.0000010000
21900,0.0000010000
22000,0.0000010000
22100,0.0000010000
22200,0.0000010000
22300,0.0000010000
22400,0.0000010000
22500,0.0000006000
22600,0.0000008000
22700,0.0000010000
22800,0.0000010000
22900,0.0000010000
23000,0.0000010000
23100,0.0000008000
23200,0.0000008000
23300,0.0000010000
23400,0.0000010000
23500,0.0000010000
