Size,TimeTaken
1000,0.004000
1010,0.003900
1020,0.003800
1030,0.003800
1040,0.003300
1050,0.002700
1060,0.002600
1070,0.002800
1080,0.002900
1090,0.002800
1100,0.002800
1110,0.003000
1120,0.002800
1130,0.002900
1140,0.002900
1150,0.002900
1160,0.002900
1170,0.003100
1180,0.003100
1190,0.003100
1200,0.003200
1210,0.003200
1220,0.003400
1230,0.004000
1240,0.003900
1250,0.003100
1260,0.003100
1270,0.003300
1280,0.003200
1290,0.003200
1300,0.003300
1310,0.003300
1320,0.004100
1330,0.004500
1340,0.003600
1350,0.003500
1360,0.003300
1370,0.003400
1380,0.003500
1390,0.003400
1400,0.003500
1410,0.003500
1420,0.003400
1430,0.004000
1440,0.003500
1450,0.003700
1460,0.003000
1470,0.003800
1480,0.003600
1490,0.003700
1500,0.004100
1510,0.003600
1520,0.004100
1530,0.004000
1540,0.003900
1550,0.004000
1560,0.003900
1570,0.003900
1580,0.003900
1590,0.003900
1600,0.003800
1610,0.004000
1620,0.004000
1630,0.004000
1640,0.004000
1650,0.004200
1660,0.004300
1670,0.004200
1680,0.004600
1690,0.004200
1700,0.004200
1710,0.004200
1720,0.004900
1730,0.004200
1740,0.004700
1750,0.004900
1760,0.006800
1770,0.007700
1780,0.014700
1790,0.011800
1800,0.012800
1810,0.011600
1820,0.011700
1830,0.011500
1840,0.011700
1850,0.011900
1860,0.011000
1870,0.011100
1880,0.013300
1890,0.016300
1900,0.008800
1910,0.004700
1920,0.004600
1930,0.004600
1940,0.005000
1950,0.004700
1960,0.004700
1970,0.004800
1980,0.004900
1990,0.004900
2000,0.004900
2010,0.004800
2020,0.005000
2030,0.005100
2040,0.004800
2050,0.005000
2060,0.004900
2070,0.005000
2080,0.005000
2090,0.005000
2100,0.005200
2110,0.005100
2120,0.005100
2130,0.005200
2140,0.005300
2150,0.005600
2160,0.005000
2170,0.005400
2180,0.005400
2190,0.005300
2200,0.005500
2210,0.005300
2220,0.005400
2230,0.005400
2240,0.005300
2250,0.005700
2260,0.005400
2270,0.005400
2280,0.005500
2290,0.005800
2300,0.005500
2310,0.005500
2320,0.005900
2330,0.005500
2340,0.005600
2350,0.005600
2360,0.005800
2370,0.005400
2380,0.005100
2390,0.006800
2400,0.006600
2410,0.006200
2420,0.006500
2430,0.005800
2440,0.005800
2450,0.005800
2460,0.005900
2470,0.005900
2480,0.005900
2490,0.006000
2500,0.006000
2510,0.006800
2520,0.006300
2530,0.006100
2540,0.006000
2550,0.006100
2560,0.006500
2570,0.006500
2580,0.006500
2590,0.006600
2600,0.006000
2610,0.007000
2620,0.011000
2630,0.018800
2640,0.007800
2650,0.009800
2660,0.007800
2670,0.006400
2680,0.006500
2690,0.006300
2700,0.006400
2710,0.006600
2720,0.006800
2730,0.006400
2740,0.006300
2750,0.006700
2760,0.008800
2770,0.008000
2780,0.007900
2790,0.006600
2800,0.007600
2810,0.007800
2820,0.006900
2830,0.006600
2840,0.006700
2850,0.007200
2860,0.007000
2870,0.007100
2880,0.006800
2890,0.006900
2900,0.007000
2910,0.006900
2920,0.009000
2930,0.008700
2940,0.008400
2950,0.007900
2960,0.008100
2970,0.008000
2980,0.008600
2990,0.008300
3000,0.029000
3010,0.016400
3020,0.007300
3030,0.009600
3040,0.009300
3050,0.008800
3060,0.008600
3070,0.007600
3080,0.007500
3090,0.007400
3100,0.007400
3110,0.007600
3120,0.007400
3130,0.007400
3140,0.008100
3150,0.010000
3160,0.017500
3170,0.007900
3180,0.008500
3190,0.007900
3200,0.008100
3210,0.007400
3220,0.007700
3230,0.007500
3240,0.008300
3250,0.007900
3260,0.007500
3270,0.007900
3280,0.007700
3290,0.008000
3300,0.008000
3310,0.008000
3320,0.009300
3330,0.022100
3340,0.008400
3350,0.008000
3360,0.007900
3370,0.008000
3380,0.008000
3390,0.008000
3400,0.008000
3410,0.008700
3420,0.008100
3430,0.009100
3440,0.009600
