Size,Time Taken
1000,0.000216
1050,0.000213
1100,0.000250
1150,0.000245
1200,0.000244
1250,0.000266
1300,0.000275
1350,0.000286
1400,0.000307
1450,0.000345
1500,0.000328
1550,0.000349
1600,0.000361
1650,0.000417
1700,0.000433
1750,0.000442
1800,0.000464
1850,0.000409
1900,0.000435
1950,0.000523
2000,0.000566
2050,0.000474
2100,0.000459
2150,0.000491
2200,0.000504
2250,0.000502
2300,0.000524
2350,0.000545
2400,0.000547
2450,0.000556
2500,0.000575
2550,0.000592
2600,0.000616
2650,0.000627
2700,0.000665
2750,0.000669
2800,0.000657
2850,0.000677
2900,0.000813
2950,0.000773
3000,0.000709
3050,0.000723
3100,0.000771
3150,0.000839
3200,0.000778
3250,0.000911
3300,0.000933
3350,0.000967
3400,0.000962
3450,0.000971
3500,0.000943
3550,0.000927
3600,0.000957
3650,0.001026
3700,0.001022
3750,0.001067
3800,0.001081
3850,0.001178
3900,0.002490
3950,0.000665
4000,0.000685
4050,0.000694
4100,0.000806
4150,0.000719
4200,0.000564
4250,0.000502
4300,0.000481
4350,0.000503
4400,0.000557
4450,0.000517
4500,0.000542
4550,0.000540
4600,0.000519
4650,0.000547
4700,0.000550
4750,0.000571
4800,0.000558
4850,0.000588
4900,0.000568
4950,0.000606
5000,0.000573
5050,0.000586
5100,0.000618
5150,0.000592
5200,0.000611
5250,0.000682
5300,0.000658
5350,0.000628
5400,0.000646
5450,0.000662
5500,0.000632
5550,0.000652
5600,0.000663
5650,0.000691
5700,0.000674
5750,0.000716
5800,0.000697
5850,0.000675
5900,0.000751
5950,0.000699
6000,0.000692
6050,0.000706
6100,0.000749
6150,0.000750
6200,0.000746
6250,0.000744
6300,0.000745
6350,0.000749
6400,0.000795
6450,0.000805
6500,0.000807
6550,0.000801
6600,0.000778
6650,0.000806
6700,0.000842
6750,0.000842
6800,0.000829
6850,0.000840
6900,0.000822
6950,0.000830
7000,0.000834
7050,0.000854
7100,0.000899
7150,0.000854
7200,0.000876
7250,0.000870
7300,0.000879
7350,0.000892
7400,0.000877
7450,0.000970
7500,0.000907
7550,0.000925
7600,0.000900
7650,0.000963
7700,0.000930
7750,0.000947
7800,0.001007
7850,0.001002
7900,0.000952
7950,0.000985
8000,0.000981
8050,0.000999
8100,0.000975
8150,0.001048
8200,0.000999
8250,0.001033
8300,0.001014
8350,0.001021
8400,0.001067
8450,0.001083
8500,0.001056
8550,0.001087
8600,0.001060
8650,0.001140
8700,0.001092
8750,0.001068
8800,0.001098
8850,0.001111
8900,0.001157
8950,0.001169
9000,0.001099
9050,0.001147
9100,0.001150
9150,0.001111
9200,0.001122
9250,0.001215
9300,0.001161
9350,0.001173
9400,0.001183
9450,0.001158
9500,0.001174
9550,0.001186
9600,0.001220
9650,0.001245
9700,0.001347
9750,0.001264
9800,0.001211
9850,0.001224
9900,0.001235
9950,0.001318
10000,0.001267
10050,0.001251
10100,0.001266
10150,0.001286
10200,0.001324
10250,0.001302
10300,0.001274
10350,0.001292
10400,0.001330
10450,0.001339
10500,0.001300
10550,0.001342
10600,0.001317
10650,0.001354
10700,0.001356
10750,0.001414
10800,0.001352
10850,0.001388
10900,0.001526
10950,0.001484
11000,0.001409
11050,0.001433
11100,0.001404
11150,0.001408
11200,0.001452
11250,0.001424
11300,0.001425
11350,0.001472
11400,0.001504
11450,0.001461
11500,0.001429
11550,0.001474
11600,0.001471
11650,0.001543
11700,0.001487
11750,0.001466
11800,0.001476
11850,0.001503
11900,0.001501
11950,0.001546
12000,0.001517
12050,0.001587
12100,0.001596
12150,0.001541
12200,0.001569
12250,0.001587
12300,0.001579
12350,0.001669
12400,0.001572
12450,0.001588
12500,0.001578
12550,0.001631
12600,0.001664
12650,0.001669
12700,0.001614
12750,0.001657
12800,0.001676
12850,0.001728
12900,0.001651
12950,0.001673
13000,0.001632
13050,0.001670
13100,0.001707
13150,0.001675
13200,0.001709
13250,0.001737
13300,0.001796
13350,0.001737
13400,0.001751
13450,0.001748
13500,0.001784
13550,0.001736
13600,0.001757
13650,0.001787
13700,0.001766
13750,0.001797
13800,0.001842
13850,0.001785
13900,0.001807
13950,0.001816
14000,0.001889
14050,0.001812
14100,0.001807
14150,0.001813
14200,0.001897
14250,0.001849
14300,0.001913
14350,0.001854
14400,0.001908
14450,0.001894
14500,0.001881
14550,0.001939
14600,0.001965
14650,0.002131
14700,0.001931
14750,0.001916
14800,0.001995
14850,0.002027
14900,0.001955
14950,0.001964
15000,0.001934
15050,0.001989
15100,0.002081
15150,0.002041
15200,0.001998
15250,0.002047
15300,0.002014
15350,0.002027
15400,0.002035
15450,0.002064
15500,0.002095
15550,0.002076
15600,0.002064
15650,0.002061
15700,0.002062
15750,0.002094
15800,0.002070
15850,0.002121
15900,0.002130
15950,0.002279
16000,0.002120
16050,0.002118
16100,0.002196
16150,0.002138
16200,0.002159
16250,0.002113
16300,0.002115
16350,0.002151
16400,0.002246
16450,0.002208
16500,0.002237
16550,0.002290
16600,0.002206
16650,0.002136
16700,0.002246
16750,0.002264
16800,0.002213
16850,0.002255
16900,0.002317
16950,0.002342
17000,0.002261
17050,0.002272
17100,0.002292
17150,0.002266
17200,0.002309
17250,0.002461
17300,0.002375
17350,0.002357
17400,0.002302
17450,0.002380
17500,0.002458
17550,0.002349
17600,0.002323
17650,0.002314
17700,0.002398
17750,0.002401
17800,0.002355
17850,0.002380
17900,0.002422
17950,0.002388
18000,0.002453
18050,0.002372
18100,0.002417
18150,0.002417
18200,0.002511
18250,0.002604
18300,0.002516
18350,0.002495
18400,0.002428
18450,0.002542
18500,0.002427
18550,0.002550
18600,0.002633
18650,0.002646
18700,0.002493
18750,0.002498
18800,0.002495
18850,0.002530
18900,0.002643
18950,0.002585
19000,0.002531
19050,0.002499
19100,0.002606
19150,0.002721
19200,0.002640
19250,0.002625
19300,0.002579
19350,0.002692
19400,0.002930
19450,0.002662
19500,0.002628
19550,0.002779
19600,0.002699
19650,0.002598
19700,0.002669
19750,0.002651
19800,0.002718
19850,0.002666
19900,0.002737
19950,0.002647
20000,0.002621
20050,0.002696
20100,0.002817
20150,0.002707
20200,0.002782
20250,0.002760
20300,0.002735
20350,0.002694
20400,0.002856
20450,0.002800
20500,0.002881
20550,0.002856
20600,0.002766
20650,0.002776
20700,0.002773
20750,0.002767
20800,0.002804
20850,0.002833
20900,0.002864
20950,0.002928
21000,0.002965
21050,0.002809
21100,0.003152
21150,0.002845
21200,0.002902
21250,0.002901
21300,0.002888
21350,0.002907
21400,0.002869
21450,0.002870
21500,0.003049
21550,0.002894
21600,0.002914
21650,0.002987
21700,0.003148
21750,0.002930
21800,0.002952
21850,0.003219
21900,0.002989
21950,0.002910
22000,0.003003
22050,0.002977
22100,0.003158
22150,0.003108
22200,0.003076
22250,0.003020
22300,0.003095
22350,0.003023
22400,0.003057
22450,0.003064
22500,0.003038
22550,0.003116
22600,0.003020
22650,0.003109
22700,0.003098
22750,0.003149
22800,0.003141
22850,0.003106
22900,0.003074
22950,0.003224
23000,0.003383
23050,0.003151
23100,0.003300
23150,0.003218
23200,0.003149
23250,0.003166
23300,0.003147
23350,0.003155
23400,0.003281
23450,0.003165
23500,0.003173
23550,0.003244
23600,0.003300
23650,0.003201
23700,0.003463
23750,0.003185
23800,0.003470
23850,0.003367
23900,0.003454
23950,0.003291
24000,0.003449
24050,0.003314
24100,0.003444
24150,0.003339
24200,0.003415
24250,0.003390
24300,0.003413
24350,0.003398
24400,0.003396
24450,0.003336
24500,0.003330
24550,0.003306
24600,0.003430
24650,0.003474
24700,0.003462
24750,0.003379
24800,0.003412
24850,0.003503
24900,0.003387
24950,0.003477
25000,0.003404
25050,0.003419
25100,0.003446
25150,0.003544
25200,0.003378
25250,0.003585
25300,0.003542
25350,0.003470
25400,0.003653
25450,0.003493
25500,0.003551
25550,0.003529
25600,0.003697
25650,0.003716
25700,0.003635
25750,0.003624
25800,0.003615
25850,0.003617
25900,0.003523
25950,0.003638
26000,0.003623
26050,0.003882
26100,0.003528
26150,0.003631
26200,0.003701
26250,0.003685
26300,0.003699
26350,0.003709
26400,0.003716
26450,0.003646
26500,0.003619
26550,0.003645
26600,0.003686
26650,0.003673
26700,0.003671
26750,0.003672
26800,0.003820
26850,0.003662
26900,0.003739
26950,0.003883
27000,0.003809
27050,0.003939
27100,0.003883
27150,0.003831
27200,0.003823
27250,0.003824
27300,0.003845
27350,0.003875
27400,0.003766
27450,0.004265
27500,0.003940
27550,0.003899
27600,0.003872
27650,0.003948
27700,0.003891
27750,0.003844
27800,0.003904
27850,0.003982
27900,0.003942
27950,0.003999
28000,0.003921
28050,0.003901
28100,0.003908
28150,0.003916
28200,0.004015
28250,0.004219
28300,0.004033
28350,0.003966
28400,0.003986
28450,0.003996
28500,0.004182
28550,0.003997
28600,0.003999
28650,0.004147
28700,0.004062
28750,0.004020
28800,0.004124
28850,0.004145
28900,0.004012
28950,0.004059
29000,0.004122
29050,0.004013
29100,0.004014
29150,0.004096
29200,0.004039
29250,0.004240
29300,0.004174
29350,0.004061
29400,0.004201
29450,0.004134
29500,0.004124
29550,0.004137
29600,0.004179
29650,0.004293
29700,0.004096
29750,0.004259
29800,0.004193
29850,0.004156
29900,0.004241
29950,0.004165
30000,0.004244
30050,0.004201
30100,0.004268
30150,0.004283
30200,0.004207
30250,0.004282
30300,0.004240
30350,0.004305
30400,0.004306
30450,0.004214
30500,0.004295
30550,0.004287
30600,0.004359
30650,0.004435
30700,0.004298
30750,0.004318
30800,0.004441
30850,0.004492
30900,0.004350
30950,0.004465
31000,0.004470
31050,0.004423
31100,0.004237
31150,0.004586
31200,0.004362
31250,0.004457
31300,0.004422
31350,0.004320
31400,0.004384
31450,0.004743
31500,0.004443
31550,0.004732
31600,0.004455
31650,0.004488
31700,0.004518
31750,0.004550
31800,0.004803
31850,0.004436
31900,0.004536
31950,0.004745
32000,0.004633
32050,0.004489
32100,0.004621
32150,0.004519
32200,0.004557
32250,0.004570
32300,0.004636
32350,0.004595
32400,0.004516
32450,0.004645
32500,0.004728
32550,0.004687
32600,0.004617
32650,0.004800
32700,0.004554
32750,0.004717
32800,0.004637
32850,0.004598
32900,0.004762
32950,0.004794
33000,0.004748
33050,0.004702
33100,0.004669
33150,0.004692
33200,0.004664
33250,0.004771
33300,0.004667
33350,0.004634
33400,0.004735
33450,0.004823
33500,0.005484
33550,0.004715
33600,0.004837
33650,0.004738
33700,0.004869
33750,0.004952
33800,0.004953
33850,0.004905
33900,0.004730
33950,0.005061
34000,0.004923
34050,0.004849
34100,0.004839
34150,0.005231
34200,0.004885
34250,0.004997
34300,0.004817
34350,0.004869
34400,0.004916
34450,0.004951
34500,0.004957
34550,0.004799
34600,0.005127
34650,0.005208
34700,0.005019
34750,0.005013
34800,0.004901
34850,0.004932
34900,0.005017
34950,0.004896
35000,0.004943
35050,0.004971
35100,0.005122
35150,0.005086
35200,0.005006
35250,0.005090
35300,0.004975
35350,0.005034
35400,0.004987
35450,0.005147
35500,0.005037
35550,0.005006
35600,0.005317
35650,0.005062
35700,0.005278
35750,0.005173
35800,0.005055
35850,0.005155
35900,0.005152
35950,0.005233
36000,0.005215
36050,0.005047
36100,0.005212
36150,0.005253
36200,0.005193
36250,0.005118
36300,0.005142
36350,0.005190
36400,0.005305
36450,0.005281
36500,0.005211
36550,0.005457
36600,0.005182
36650,0.005212
36700,0.005421
36750,0.005343
36800,0.005299
36850,0.005318
36900,0.005438
36950,0.005222
37000,0.005574
37050,0.005626
37100,0.005445
37150,0.005326
37200,0.005410
37250,0.005400
37300,0.005400
37350,0.005436
37400,0.005314
37450,0.005413
37500,0.005526
37550,0.005327
37600,0.005579
37650,0.005542
37700,0.005387
37750,0.005360
37800,0.005454
37850,0.005431
37900,0.005760
37950,0.005454
38000,0.005429
38050,0.005473
38100,0.005330
38150,0.005548
38200,0.005573
38250,0.005523
38300,0.005581
38350,0.005632
38400,0.005840
38450,0.005578
38500,0.005668
38550,0.005845
38600,0.005805
38650,0.005566
38700,0.005570
38750,0.005730
38800,0.005544
38850,0.005522
38900,0.005763
38950,0.005698
39000,0.005654
39050,0.005602
39100,0.005701
39150,0.005650
