Size,Time Taken
1000,0.002570
1050,0.002915
1100,0.003169
1150,0.003480
1200,0.003629
1250,0.003950
1300,0.004506
1350,0.004663
1400,0.005036
1450,0.005435
1500,0.004200
1550,0.002772
1600,0.002927
1650,0.003126
1700,0.003305
1750,0.003508
1800,0.003704
1850,0.004019
1900,0.004125
1950,0.004337
2000,0.004571
2050,0.004796
2100,0.005023
2150,0.005284
2200,0.005531
2250,0.005969
2300,0.006093
2350,0.006508
2400,0.006555
2450,0.006866
2500,0.007120
2550,0.007401
2600,0.007694
2650,0.007992
2700,0.008293
2750,0.008616
2800,0.008913
2850,0.009242
2900,0.009555
2950,0.009892
3000,0.010232
3050,0.010571
3100,0.010917
3150,0.011269
3200,0.011629
3250,0.012000
3300,0.012362
3350,0.012751
3400,0.013123
3450,0.013517
3500,0.013903
3550,0.014301
3600,0.014719
3650,0.015112
3700,0.015540
3750,0.015953
3800,0.016385
3850,0.016823
3900,0.017251
3950,0.017698
4000,0.018170
4050,0.018595
4100,0.019064
4150,0.019531
4200,0.020001
4250,0.020875
4300,0.020968
4350,0.021440
4400,0.021942
4450,0.022524
4500,0.022929
4550,0.023464
4600,0.023977
4650,0.024494
4700,0.025062
4750,0.025560
4800,0.026096
4850,0.026639
4900,0.027197
4950,0.027752
5000,0.028313
5050,0.028886
5100,0.029451
5150,0.030039
5200,0.030625
5250,0.031223
5300,0.031799
5350,0.032420
5400,0.033378
5450,0.033632
5500,0.034316
5550,0.034874
5600,0.035494
5650,0.036130
5700,0.036770
5750,0.037427
5800,0.038065
5850,0.038740
5900,0.039397
5950,0.040059
6000,0.040736
6050,0.041430
6100,0.042108
6150,0.043123
6200,0.043607
6250,0.044210
6300,0.044905
6350,0.045623
6400,0.046383
6450,0.047086
6500,0.048223
6550,0.048568
6600,0.049307
6650,0.050044
6700,0.050791
6750,0.051560
6800,0.052412
6850,0.053143
6900,0.053881
6950,0.054652
7000,0.055438
7050,0.056265
7100,0.057070
7150,0.057869
7200,0.058676
7250,0.059457
7300,0.060277
7350,0.061500
7400,0.061983
7450,0.062803
7500,0.063649
7550,0.064486
7600,0.065348
7650,0.066190
7700,0.067049
7750,0.067919
7800,0.069197
7850,0.069763
7900,0.070579
7950,0.071501
8000,0.072362
8050,0.073277
8100,0.074205
8150,0.079130
8200,0.076131
8250,0.076945
8300,0.077856
8350,0.078792
8400,0.079780
8450,0.080717
8500,0.081665
8550,0.082739
8600,0.083947
8650,0.084564
8700,0.085512
8750,0.086535
8800,0.087549
8850,0.088565
8900,0.089507
8950,0.090834
9000,0.091534
9050,0.092594
9100,0.093573
9150,0.094592
9200,0.095649
9250,0.097034
9300,0.097738
9350,0.098858
9400,0.099855
9450,0.100932
9500,0.101989
9550,0.103432
9600,0.104183
9650,0.105255
9700,0.106327
9750,0.107427
9800,0.108530
9850,0.109919
9900,0.110732
9950,0.111840
10000,0.113012
10050,0.114104
10100,0.115373
10150,0.116378
10200,0.117553
10250,0.118684
10300,0.119853
10350,0.121371
10400,0.122236
10450,0.123376
10500,0.124585
10550,0.125739
10600,0.127308
10650,0.128121
10700,0.129323
10750,0.130524
10800,0.131744
10850,0.133324
10900,0.134207
10950,0.135431
11000,0.136662
11050,0.138250
11100,0.139179
11150,0.140398
11200,0.141675
11250,0.143352
11300,0.144350
11350,0.145613
11400,0.146895
11450,0.148569
11500,0.149424
11550,0.150697
11600,0.152004
11650,0.153705
11700,0.154646
11750,0.155956
11800,0.157274
11850,0.159001
11900,0.160029
11950,0.161274
12000,0.162635
12050,0.164359
12100,0.165352
12150,0.166721
12200,0.168100
12250,0.169807
12300,0.170802
12350,0.172267
12400,0.173816
12450,0.175087
12500,0.176589
12550,0.178245
12600,0.179427
12650,0.180872
12700,0.182276
12750,0.183954
12800,0.185160
12850,0.186584
12900,0.188432
12950,0.189519
13000,0.190961
13050,0.192838
13100,0.193930
13150,0.195360
13200,0.197489
13250,0.199059
13300,0.199870
13350,0.201742
13400,0.202838
13450,0.204402
13500,0.205942
13550,0.207402
13600,0.208857
13650,0.210573
13700,0.211966
13750,0.213514
13800,0.215453
13850,0.216611
13900,0.218167
13950,0.219963
14000,0.221461
14050,0.223294
14100,0.224539
14150,0.226128
14200,0.228080
14250,0.229315
14300,0.230919
14350,0.232889
14400,0.234117
14450,0.236130
14500,0.237420
14550,0.239031
14600,0.241032
14650,0.242335
14700,0.244355
14750,0.245695
14800,0.247369
14850,0.249407
14900,0.250677
14950,0.252856
15000,0.254070
15050,0.256129
15100,0.257466
15150,0.259153
15200,0.261222
15250,0.262578
15300,0.264673
15350,0.265989
15400,0.268073
15450,0.269439
15500,0.271294
15550,0.273507
15600,0.275462
15650,0.276781
15700,0.278365
15750,0.280477
15800,0.281869
15850,0.284053
15900,0.285672
15950,0.287578
16000,0.289150
16050,0.291318
16100,0.292661
16150,0.294812
16200,0.296324
16250,0.298464
16300,0.299920
16350,0.302151
16400,0.303658
16450,0.305840
16500,0.307360
16550,0.309572
16600,0.311088
16650,0.313430
16700,0.314923
16750,0.317087
16800,0.318571
16850,0.320881
16900,0.322419
16950,0.324683
17000,0.326272
17050,0.328271
17100,0.330478
17150,0.332026
17200,0.334380
17250,0.335929
17300,0.338257
17350,0.339803
17400,0.342147
17450,0.343783
17500,0.346061
17550,0.348007
17600,0.349742
17650,0.352043
17700,0.353701
17750,0.356028
17800,0.358090
17850,0.359677
17900,0.362121
17950,0.363705
18000,0.366180
18050,0.368170
18100,0.369805
18150,0.372297
18200,0.374030
18250,0.377585
18300,0.378288
18350,0.380230
18400,0.382501
18450,0.385758
18500,0.386499
18550,0.389029
18600,0.391044
18650,0.392693
18700,0.395072
18750,0.397312
